YEAR,Car_Age,MILEAGE,CAR_PRICE
2017,6,112536,17795
2019,4,53439,21475
2015,8,123648,13995
2014,7,121658,10810
2018,5,37463,23995
2013,10,44904,16450
2016,7,67043,16950
2011,12,107448,10950
2018,5,51779,19225
2013,10,22725,12225
2015,8,94008,14225
2010,13,107650,10225
2019,4,68310,18981
2019,4,31590,25482
